urun_kodu;urun_adi;recete_kodu;recete_adi;revizyon_no;gecerlilik_tarihi;durum;parti_teorik_kg;proses_suyu_kg;hammadde_adi;miktar_kg;kategori;barkod;birim;raf_omru_gun;saklama_sicakligi;urun_aciklama;revizyon_aciklamasi
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE;00;;ARSIV;20.412;10.7;Patates Unu;5.2;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;2026 tarihsel başlangıç reçetesi / REDBOX OS geçiş kaydı
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE;00;;ARSIV;20.412;10.7;Nişasta;2.56;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;2026 tarihsel başlangıç reçetesi / REDBOX OS geçiş kaydı
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE;00;;ARSIV;20.412;10.7;Mısır Unu;1.28;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;2026 tarihsel başlangıç reçetesi / REDBOX OS geçiş kaydı
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE;00;;ARSIV;20.412;10.7;Metilselüloz Benecel A4M E461;0.12;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;2026 tarihsel başlangıç reçetesi / REDBOX OS geçiş kaydı
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE;00;;ARSIV;20.412;10.7;Tavuk Çeşnisi;0.32;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;2026 tarihsel başlangıç reçetesi / REDBOX OS geçiş kaydı
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE;00;;ARSIV;20.412;10.7;Sarımsak Tozu;0.064;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;2026 tarihsel başlangıç reçetesi / REDBOX OS geçiş kaydı
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE;00;;ARSIV;20.412;10.7;Karabiber;0.024;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;2026 tarihsel başlangıç reçetesi / REDBOX OS geçiş kaydı
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE;00;;ARSIV;20.412;10.7;Tuz;0.144;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;2026 tarihsel başlangıç reçetesi / REDBOX OS geçiş kaydı
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE REV 01;01;20.07.2027;AKTIF;20.412;10.7;Patates Unu;5.2;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;test01
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE REV 01;01;20.07.2027;AKTIF;20.412;10.7;Nişasta;2.56;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;test01
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE REV 01;01;20.07.2027;AKTIF;20.412;10.7;Mısır Unu;1.28;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;test01
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE REV 01;01;20.07.2027;AKTIF;20.412;10.7;Metilselüloz Benecel A4M E461;0.12;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;test01
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE REV 01;01;20.07.2027;AKTIF;20.412;10.7;Tavuk Çeşnisi;0.32;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;test01
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE REV 01;01;20.07.2027;AKTIF;20.412;10.7;Sarımsak Tozu;0.064;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;test01
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE REV 01;01;20.07.2027;AKTIF;20.412;10.7;Karabiber;0.024;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;test01
LP001;Long Potato;LP001-REC;LONG POTATO ANA RECETE REV 01;01;20.07.2027;AKTIF;20.412;10.7;Tuz;0.144;Dondurulmuş Patates Ürünü;;KG;;-18°C;REDBOX OS çok ürün altyapısı başlangıç ürünü;test01
